Country/Region,pop2020,area,Density,GrowthRate,WorldPercentage,rank,pop2019,pop2050,pop2030,pop2015,pop2010,pop2000,pop1990,pop1980,pop1970
Central African Republic,4829.767,622984,7.7526,1.0178,0.0006,125,4745.185,8400.956,5942.211,4493.17,4386.768,3640.427,2806.734,2199.356,1811.144
Chad,16425.864,1284000,12.7927,1.03,0.0021,72,15946.876,34031.311,21690.381,14110.975,11952.136,8355.654,5963.252,4514.43,3643.604
Channel Islands,173.863,190,,0.93,0,,172.259,,,165.385,159.734,148.443,140.671,128.212,121.197
Chile,19116.201,756102,25.2826,1.0087,0.0025,63,18952.038,20319.307,19458.103,17969.353,17062.536,15342.353,13274.623,11419.348,9783.134
China,1439323.776,9706961,148.2775,1.0039,0.1847,1,1433783.686,1402405.17,1464340.159,1406847.87,1368810.615,1290550.765,1176883.674,1000089.235,827601.394
Colombia,50882.891,1141748,44.5658,1.0108,0.0065,29,50339.443,55957.824,53416.763,47520.667,45222.7,39629.968,33102.575,26900.506,21480.065
Comoros,869.601,1862,467.0252,1.022,0.0001,163,850.886,1471.737,1063.114,777.424,689.692,542.357,411.594,307.829,230.054
Congo (Brazzaville),5518.087,342000,16.1348,1.0256,0.0007,117,5380.508,10701.994,7019.831,4856.095,4273.731,3127.411,2356.737,1777.934,1326.885
Congo (Kinshasa),89561.403,2344858,38.1948,1.0319,0.0115,16,86790.567,194488.658,120046.726,76244.544,64563.854,47105.826,34612.023,26358.908,20011.036
Costa Rica,5094.118,51100,99.6892,1.0092,0.0007,122,5047.561,5772.699,5468.038,4847.804,4577.378,3962.372,3119.433,2389.977,1847.394
Cote d'Ivoire,26378.274,322463,81.8025,1.0257,0.0034,53,25716.544,51263.671,33712.599,23226.143,20532.95,16454.668,11924.877,8033.65,5102.064
Croatia,4105.267,56594,72.5389,0.9939,0.0005,130,4130.304,3364.8,3877.272,4232.874,4328.165,4428.075,4776.374,4598.13,4423.073
Cuba,11326.616,109884,103.0779,0.9994,0.0015,83,11333.483,10162.396,11142.328,11324.781,11225.832,11126.43,10596.987,9849.459,8712.541
Curacao,164.093,444,369.5788,1.0041,0,191,163.424,175.722,170.704,159.847,149.192,132.14,146.67,147.996,143.634
Cyprus,1207.359,9251,130.5112,1.0073,0.0002,158,1198.575,1354.591,1274.972,1160.985,1112.612,943.29,766.615,685.405,613.618
Czechia,10708.981,78865,135.7888,1.0018,0.0014,86,10689.209,10545.581,10744.834,10601.397,10536.518,10289.373,10340.875,10349.083,9817.669
Denmark,5792.202,43094,134.4085,1.0035,0.0007,115,5771.876,6245.374,6001.867,5688.695,5554.844,5341.194,5141.115,5123.945,4931.241
Diamond Princess,,,,,,,,,,,,,,,
Djibouti,988,23200,42.5862,1.0148,0.0001,160,973.56,1295.373,1116.724,913.993,840.198,717.584,590.398,358.96,159.659
Dominica,71.986,751,95.8535,1.0025,0,203,71.808,70.877,73.241,71.183,70.878,69.65,70.419,75.314,71.073
Dominican Republic,10847.91,48671,222.8824,1.0101,0.0014,85,10738.958,12795.809,11770.322,10281.68,9695.121,8471.321,7133.494,5803.927,4499.72
Ecuador,17643.054,276841,63.7299,1.0155,0.0023,67,17373.662,23316.457,19818.797,16212.02,15011.117,12681.123,10230.934,7989.186,6069.376
Egypt,102334.404,1002450,102.0843,1.0194,0.0131,14,100388.073,159956.808,120831.557,92442.547,82761.235,68831.561,56134.475,43309.063,34513.85
El Salvador,6486.205,21041,308.2651,1.0051,0.0008,112,6453.553,6936.786,6778.586,6325.124,6183.875,5887.936,5270.079,4591.134,3673.068
Equatorial Guinea,1402.985,28051,50.0155,1.0347,0.0002,153,1355.986,2820.925,1873.549,1168.568,943.639,606.181,419.188,249.929,303.982
Eritrea,3546.421,117600,30.1566,1.0141,0.0005,133,3497.117,6005.49,4240.213,3342.818,3170.435,2292.416,2258.653,1733.416,1310.945
